Floating holiday for Christian New Year Day on Wednesday, 1-Jan-2025 in Bengaluru
Floating holiday for New Year Day on Wednesday, 1-Jan-2025 in Bengaluru
Floating holiday for Mannam Jayanthi on Thursday, 2-Jan-2025 in Bengaluru
Floating holiday for Birthday of Sri Guru Gobind Singh Ji on Monday, 6-Jan-2025 in Bengaluru
Floating holiday for Prakash Purab of Guru Gobind Singh Ji on Monday, 6-Jan-2025 in Bengaluru
Floating holiday for Guru Govind Singh Jayanti on Monday, 6-Jan-2025 in Bengaluru
Floating holiday for Birthday of Maharishi Guru Gokulnathji Maharaj on Monday, 6-Jan-2025 in Bengaluru
Floating holiday for Shri Guru Gobind Singh Ji Jayanti on Monday, 6-Jan-2025 in Bengaluru
Floating holiday for Guru Gobind Singh's Birthday on Monday, 6-Jan-2025 in Bengaluru
Floating holiday for Urs of Hazrat Khwaja Moinuddin Chishti Ajmeri Garib Nawaz Rehman on Wednesday, 8-Jan-2025 in Bengaluru
Floating holiday for Hazarat Ali’s Birthday on Sunday, 12-Jan-2025 in Bengaluru
Floating holiday for Birthday of Swami Vivekananda on Sunday, 12-Jan-2025 in Bengaluru
Floating holiday for Lohari Parv on Monday, 13-Jan-2025 in Bengaluru
Floating holiday for Lohri on Monday, 13-Jan-2025 in Bengaluru
Floating holiday for Bhogi on Monday, 13-Jan-2025 in Bengaluru
Mandatory holiday for Pongal on Tuesday, 14-Jan-2025 in Bengaluru
Mandatory holiday for Uttarayana on Tuesday, 14-Jan-2025 in Bengaluru
Mandatory holiday for Makar Sankranti on Tuesday, 14-Jan-2025 in Bengaluru
Floating holiday for Vassi Uttarayan (Next Day of Makar Sankranti) on Wednesday, 15-Jan-2025 in Bengaluru
Floating holiday for Thiruvalluvar Day on Wednesday, 15-Jan-2025 in Bengaluru
Floating holiday for Kanumu on Wednesday, 15-Jan-2025 in Bengaluru
Floating holiday for Uzhavar Thirunal on Thursday, 16-Jan-2025 in Bengaluru
Floating holiday for Martyrdom day of Hemu Kalani on Tuesday, 21-Jan-2025 in Bengaluru
Floating holiday for Netaji's Birthday on Thursday, 23-Jan-2025 in Bengaluru
Floating holiday for Subash Chandra Bose Jayanti on Thursday, 23-Jan-2025 in Bengaluru
Floating holiday for Vir Surendrasai Jayanti on Thursday, 23-Jan-2025 in Bengaluru
Floating holiday for Jananayak Karpoori Thakur Birth Anniversary on Friday, 24-Jan-2025 in Bengaluru
Floating holiday for Foundation Day of Brahma Samaj on Saturday, 25-Jan-2025 in Bengaluru
Mandatory holiday for Republic Day on Sunday, 26-Jan-2025 in Bengaluru
Floating holiday for Shab-E-Meraj on Tuesday, 28-Jan-2025 in Bengaluru
Floating holiday for Saraswati Puja (Sree Panchami) on Sunday, 2-Feb-2025 in Bengaluru
Floating holiday for Basanta Panchami on Sunday, 2-Feb-2025 in Bengaluru
Floating holiday for Sir Chhotu Ram Jayanti on Sunday, 2-Feb-2025 in Bengaluru
Floating holiday for Day after Saraswati Puja on Monday, 3-Feb-2025 in Bengaluru
Floating holiday for Sri Panchami on Monday, 3-Feb-2025 in Bengaluru
Floating holiday for Basant Panchami on Monday, 3-Feb-2025 in Bengaluru
Floating holiday for Dev Narayan Jayanti on Tuesday, 4-Feb-2025 in Bengaluru
Floating holiday for Narmada Jayanti on Tuesday, 4-Feb-2025 in Bengaluru
Floating holiday for Shri MadvaNavami on Thursday, 6-Feb-2025 in Bengaluru
Floating holiday for Vishwakarma Jayanti on Monday, 10-Feb-2025 in Bengaluru
Floating holiday for Vishvakarma Jayanti (Maha Sud-13) on Monday, 10-Feb-2025 in Bengaluru
Floating holiday for Birthday of Swami Ramcharan Ji Maharaj on Tuesday, 11-Feb-2025 in Bengaluru
Floating holiday for Swami Ramcharan Jayanti on Tuesday, 11-Feb-2025 in Bengaluru
Floating holiday for Thai Poosam on Tuesday, 11-Feb-2025 in Bengaluru
Floating holiday for Saint Shiromani Ravidasji's Birthday on Wednesday, 12-Feb-2025 in Bengaluru
Floating holiday for Saint Ravi Das's Birthday on Wednesday, 12-Feb-2025 in Bengaluru
